Timestamp,Object Name,Event,Zone3_SpeakerNode_speaker_Played Message,Zone3_BuzzerNode_actuator_Switch 0 Status,Zone3_ActuatorNode_actuator_Switch 0 Status,Zone3_ActuatorNode_actuator_Switch 1 Status,Zone3_ActuatorNode_actuator_Switch 2 Status,Zone3_ActuatorNode_actuator_Switch 3 Status,Zone3_BuzzerNode_actuator_Connected Device 0,Zone3_ActuatorNode_actuator_Connected Device 3,Zone3_GateNode_scanner_ID,Zone3_GateNode_relay_Switch 0 Status,Zone3_ActuatorNode_actuator_Connected Device 1,Zone3_GateNode_relay_Connected Device 0,Zone3_ActuatorNode_actuator_Connected Device 2,Zone3_ActuatorNode_actuator_Connected Device 0
2024-11-27T10:05:14.830441,Zone3_ControlNode,Received (8) new packets from slave node [Zone3_ActuatorNode] created @ [2024-11-27T10:05:14.815198800],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:14.831476700,Zone3_ControlNode,Received (1) new packets from slave node [Zone3_SpeakerNode] created @ [2024-11-27T10:05:14.815198800],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.043551900,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.077141700,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.110221800,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_GateNode] created @ [2024-11-27T10:05:15.096255500],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.356236900,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_BuzzerNode] created @ [2024-11-27T10:05:15.332959500],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.406944100,Zone3_ControlNode,Received (8) new packets from slave node [Zone3_ActuatorNode] created @ [2024-11-27T10:05:15.356236900],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.406944100,Zone3_ControlNode,Received (1) new packets from slave node [Zone3_SpeakerNode] created @ [2024-11-27T10:05:15.356236900],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.652730800,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:15.654724200,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
