Timestamp,Object Name,Video
6.031,Zone2_MasterNode_camera,Uninitialized
6.062,Zone2_MasterNode_camera,Uninitialized
6.092,Zone2_MasterNode_camera,Uninitialized
6.113,Zone2_MasterNode_camera,Uninitialized
6.134,Zone2_MasterNode_camera,Uninitialized
6.155,Zone2_MasterNode_camera,Uninitialized
6.188,Zone2_MasterNode_camera,Uninitialized
6.218,Zone2_MasterNode_camera,Uninitialized
6.249,Zone2_MasterNode_camera,Uninitialized
6.281,Zone2_MasterNode_camera,Uninitialized
6.313,Zone2_MasterNode_camera,Uninitialized
6.343,Zone2_MasterNode_camera,Uninitialized
6.374,Zone2_MasterNode_camera,Uninitialized
6.405,Zone2_MasterNode_camera,Uninitialized
6.436,Zone2_MasterNode_camera,Uninitialized
6.457,Zone2_MasterNode_camera,Uninitialized
6.477,Zone2_MasterNode_camera,Uninitialized
6.498,Zone2_MasterNode_camera,Uninitialized
6.530,Zone2_MasterNode_camera,Uninitialized
6.552,Zone2_MasterNode_camera,Uninitialized
6.576,Zone2_MasterNode_camera,Uninitialized
6.596,Zone2_MasterNode_camera,Uninitialized
6.618,Zone2_MasterNode_camera,Uninitialized
6.639,Zone2_MasterNode_camera,Uninitialized
6.671,Zone2_MasterNode_camera,Uninitialized
6.703,Zone2_MasterNode_camera,Uninitialized
6.734,Zone2_MasterNode_camera,Uninitialized
6.754,Zone2_MasterNode_camera,Uninitialized
6.781,Zone2_MasterNode_camera,Uninitialized
6.813,Zone2_MasterNode_camera,Uninitialized
6.844,Zone2_MasterNode_camera,Uninitialized
6.875,Zone2_MasterNode_camera,Uninitialized
6.906,Zone2_MasterNode_camera,Uninitialized
6.937,Zone2_MasterNode_camera,Uninitialized
6.959,Zone2_MasterNode_camera,Uninitialized
6.979,Zone2_MasterNode_camera,Uninitialized
7.016,Zone2_MasterNode_camera,Uninitialized
7.036,Zone2_MasterNode_camera,Uninitialized
7.056,Zone2_MasterNode_camera,Uninitialized
7.077,Zone2_MasterNode_camera,Uninitialized
7.099,Zone2_MasterNode_camera,Uninitialized
7.120,Zone2_MasterNode_camera,Uninitialized
7.140,Zone2_MasterNode_camera,Uninitialized
7.172,Zone2_MasterNode_camera,Uninitialized
7.207,Zone2_MasterNode_camera,Uninitialized
7.234,Zone2_MasterNode_camera,Uninitialized
7.265,Zone2_MasterNode_camera,Uninitialized
7.296,Zone2_MasterNode_camera,Uninitialized
7.328,Zone2_MasterNode_camera,Uninitialized
7.358,Zone2_MasterNode_camera,Uninitialized
7.379,Zone2_MasterNode_camera,Uninitialized
7.400,Zone2_MasterNode_camera,Uninitialized
7.422,Zone2_MasterNode_camera,Uninitialized
7.442,Zone2_MasterNode_camera,Uninitialized
7.462,Zone2_MasterNode_camera,Uninitialized
7.497,Zone2_MasterNode_camera,Uninitialized
7.528,Zone2_MasterNode_camera,Uninitialized
7.559,Zone2_MasterNode_camera,Uninitialized
7.596,Zone2_MasterNode_camera,Uninitialized
7.635,Zone2_MasterNode_camera,Uninitialized
7.681,Zone2_MasterNode_camera,Uninitialized
7.716,Zone2_MasterNode_camera,Uninitialized
7.748,Zone2_MasterNode_camera,Uninitialized
7.778,Zone2_MasterNode_camera,Uninitialized
7.798,Zone2_MasterNode_camera,Uninitialized
7.819,Zone2_MasterNode_camera,Uninitialized
7.840,Zone2_MasterNode_camera,Uninitialized
7.872,Zone2_MasterNode_camera,Uninitialized
7.952,Zone2_MasterNode_camera,Uninitialized
7.985,Zone2_MasterNode_camera,Uninitialized
8.008,Zone2_MasterNode_camera,Uninitialized
8.028,Zone2_MasterNode_camera,Uninitialized
8.056,Zone2_MasterNode_camera,Uninitialized
8.087,Zone2_MasterNode_camera,Uninitialized
8.109,Zone2_MasterNode_camera,Uninitialized
8.130,Zone2_MasterNode_camera,Uninitialized
8.150,Zone2_MasterNode_camera,Uninitialized
8.180,Zone2_MasterNode_camera,Uninitialized
8.200,Zone2_MasterNode_camera,Uninitialized
8.221,Zone2_MasterNode_camera,Uninitialized
8.260,Zone2_MasterNode_camera,Uninitialized
8.281,Zone2_MasterNode_camera,Uninitialized
8.302,Zone2_MasterNode_camera,Uninitialized
8.322,Zone2_MasterNode_camera,Uninitialized
8.343,Zone2_MasterNode_camera,Uninitialized
8.364,Zone2_MasterNode_camera,Uninitialized
