Timestamp,Object Name,Event,Zone2_SpeakerNode_speaker_Played Message,Zone2_GateNode_relay_Switch 0 Status,Zone2_BuzzerNode_relay_Connected Device 0,Zone2_ActuatorNode_relay_Connected Device 0,Zone2_ActuatorNode_relay_Connected Device 1,Zone2_ActuatorNode_relay_Switch 1 Status,Zone2_GateNode_relay_Connected Device 0,Zone2_ActuatorNode_relay_Switch 3 Status,Zone2_ActuatorNode_relay_Connected Device 2,Zone2_ActuatorNode_relay_Switch 0 Status,Zone2_ActuatorNode_relay_Switch 2 Status,Zone2_GateNode_scanner_ID,Zone2_ActuatorNode_relay_Connected Device 3,Zone2_BuzzerNode_relay_Switch 0 Status
0.763,Zone2_MasterNode,Received (1) new packets from slave node [Zone2_SpeakerNode] created @ [0.752],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.766,Zone2_MasterNode,Received (8) new packets from slave node [Zone2_ActuatorNode] created @ [0.754],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.769,Zone2_MasterNode,Received (2) new packets from slave node [Zone2_BuzzerNode] created @ [0.759],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.774,Zone2_MasterNode,Gate [Zone2_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.774,Zone2_MasterNode,Gate [Zone2_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.804,Zone2_MasterNode,Received (1) new packets from slave node [Zone2_SpeakerNode] created @ [0.793],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.809,Zone2_MasterNode,Received (2) new packets from slave node [Zone2_GateNode] created @ [0.799],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.824,Zone2_MasterNode,Received (2) new packets from slave node [Zone2_BuzzerNode] created @ [0.814],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.831,Zone2_MasterNode,Received (8) new packets from slave node [Zone2_ActuatorNode] created @ [0.821],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.846,Zone2_MasterNode,Received (1) new packets from slave node [Zone2_SpeakerNode] created @ [0.835],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.850,Zone2_MasterNode,Gate [Zone2_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.850,Zone2_MasterNode,Gate [Zone2_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.865,Zone2_MasterNode,Received (2) new packets from slave node [Zone2_BuzzerNode] created @ [0.854],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.870,Zone2_MasterNode,Received (2) new packets from slave node [Zone2_GateNode] created @ [0.860],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.874,Zone2_MasterNode,Received (8) new packets from slave node [Zone2_ActuatorNode] created @ [0.861],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
0.887,Zone2_MasterNode,Received (1) new packets from slave node [Zone2_SpeakerNode] created @ [0.876],Uninitialized,false,Zone2_BuzzerNode_relay_buzzer,Disconnected,Disconnected,false,Zone2_GateNode_motor,false,Disconnected,false,false,Uninitialized,Disconnected,false
